year,iso3_o,iso3_d,iso_o,iso_d,flow,gdp_o,gdp_d,pop_o,pop_d,distw,comlang_off,contig,wto_o,wto_d,gatt_o,gatt_d,wto_joint,EU_joint,EAEU_joint
2017,BLR,KGZ,BLR,KGZ,123450.3,54726595.249,7702934.8,9458.989,6198.2,3591,0,0,0,1,0,0,0,0,1
2018,BLR,KGZ,BLR,KGZ,120319.7,60031262.269,8271108.638,9438.785,6322.8,3591,0,0,0,1,0,0,0,0,1
2019,BLR,KGZ,BLR,KGZ,60696.2,64409647.194,8871026.074000001,9419.758,6456.2,3591,0,0,0,1,0,0,0,0,1
2020,BLR,KGZ,BLR,KGZ,60220.4,61489588.895,7780874.537,9379.952,6579.9000000000005,3592,0,0,0,1,0,0,0,0,1
1992,BLR,LTU,BLR,LTU,95363.778,17022180.352,8562311.168,10216,3700.114,219,0,1,0,0,0,0,0,0,0
1994,BLR,LTU,BLR,LTU,97855.411,14931599.36,6958637.056,10227,3657.144,219,0,1,0,0,0,0,0,0,0
1995,BLR,LTU,BLR,LTU,133076.796,13972637.696,7904896,10194,3629.102,218,0,1,0,0,0,0,0,0,0
1996,BLR,LTU,BLR,LTU,108196.266,14756861.952,8426599.936,10160,3601.6130000000003,218,0,1,0,0,0,0,0,0,0
1997,BLR,LTU,BLR,LTU,135966.677,14128412.672,10128700.416,10117,3575.137,218,0,1,0,0,0,0,0,0,0
1998,BLR,LTU,BLR,LTU,157527.582,15222014.976,11254049.792,10069,3549.331,218,0,1,0,0,0,0,0,0,0
1999,BLR,LTU,BLR,LTU,174610.865,12138485.76,10971374.592,10035,3524.2380000000003,218,0,1,0,0,0,0,0,0,0
2000,BLR,LTU,BLR,LTU,348777,12736856.064,11434200.064,10005,3499.536,217,0,1,0,0,0,0,0,0,0
2001,BLR,LTU,BLR,LTU,275803.8,12354820.096,12159224.832,9928,3470.818,217,0,1,0,1,0,0,0,0,0
2002,BLR,LTU,BLR,LTU,256736.1,14594925.568,14163949.568,9865,3443.067,217,0,1,0,1,0,0,0,0,0
2003,BLR,LTU,BLR,LTU,264981.6,17825435.648000002,18608709.632,9797,3415.213,217,0,1,0,1,0,0,0,0,0
2004,BLR,LTU,BLR,LTU,356277,23141586.944,22659295.232,9730,3377.0750000000003,217,0,1,0,1,0,0,0,0,0
2005,BLR,LTU,BLR,LTU,351783.10000000003,30210091.008,26085306.368,9663,3322.528,216,0,1,0,1,0,0,0,0,0
2006,BLR,LTU,BLR,LTU,432701.8,36961918.976,30246361.088,9604,3269.909,216,0,1,0,1,0,0,0,0,0
2007,BLR,LTU,BLR,LTU,564537.4,45275713.536,39325986.816,9560,3231.294,216,0,1,0,1,0,0,0,0,0
2008,BLR,LTU,BLR,LTU,619229,60763484.16,47438364.672,9528,3198.231,216,0,1,0,1,0,0,0,0,0
2009,BLR,LTU,BLR,LTU,362253,49208655.872,37050081.28,9507,3162.916,216,0,1,0,1,0,0,0,0,0
2010,BLR,LTU,BLR,LTU,450505.5,55220932.608,36709511.168,9490,3097.282,215,0,1,0,1,0,0,0,0,0
2011,BLR,LTU,BLR,LTU,857120.5,59734593.536,43083067.392,9473,3028.115,215,0,1,0,1,0,0,0,0,0
2012,BLR,LTU,BLR,LTU,1181147.9,63615447.04,42343559.168,9464,2987.773,215,0,1,0,1,0,0,0,0,0
2013,BLR,LTU,BLR,LTU,1072547.2,71709515.77600001,45931966.464,9466,2956.121,215,0,1,0,1,0,0,0,0,0
2014,BLR,LTU,BLR,LTU,1038121.6,78813052.928,48545251.328,9474.511,2932.367,215,0,1,0,1,0,0,0,0,0
2015,BLR,LTU,BLR,LTU,975723.778,56454774.784,41402023.936,9489.616,2904.91,215,0,1,0,1,0,0,0,0,0
2016,BLR,LTU,BLR,LTU,774286.523,47433441.28,42738876.416,9507.12,2872.298,215,0,1,0,1,0,0,0,0,0
2017,BLR,LTU,BLR,LTU,846585.5,54726595.249,47758736.932,9458.989,2828.403,215,0,1,0,1,0,0,0,0,0
2018,BLR,LTU,BLR,LTU,1152053.3,60031262.269,53750911.866,9438.785,2801.543,215,0,1,0,1,0,0,0,0,0
2019,BLR,LTU,BLR,LTU,1054542.1,64409647.194,54697379.017000005,9419.758,2794.137,215,0,1,0,1,0,0,0,0,0
2020,BLR,LTU,BLR,LTU,1034228,61489588.895,56546957.475,9379.952,2794.885,215,0,1,0,1,0,0,0,0,0
1994,BLR,LVA,BLR,LVA,37880.548,14931599.36,5060854.784,10227,2520.742,448,0,1,0,0,0,0,0,0,0
1995,BLR,LVA,BLR,LVA,57380.961,13972637.696,5235719.68,10194,2485.056,447,0,1,0,0,0,0,0,0,0
1996,BLR,LVA,BLR,LVA,39682.626,14756861.952,5585292.8,10160,2457.222,447,0,1,0,0,0,0,0,0,0
1997,BLR,LVA,BLR,LVA,33481.443,14128412.672,6133234.176,10117,2432.851,447,0,1,0,0,0,0,0,0,0
1998,BLR,LVA,BLR,LVA,171373.332,15222014.976,6616957.44,10069,2410.019,447,0,1,0,0,0,0,0,0,0
1999,BLR,LVA,BLR,LVA,260388.867,12138485.76,7288524.288,10035,2390.482,447,0,1,0,1,0,0,0,0,0
2000,BLR,LVA,BLR,LVA,467311.3,12736856.064,7833068.544,10005,2367.55,446,0,1,0,1,0,0,0,0,0
2001,BLR,LVA,BLR,LVA,492265.9,12354820.096,8313047.552,9928,2337.17,446,0,1,0,1,0,0,0,0,0
2002,BLR,LVA,BLR,LVA,520108.8,14594925.568,9314784.256,9865,2310.173,446,0,1,0,1,0,0,0,0,0
2003,BLR,LVA,BLR,LVA,344349.7,17825435.648000002,11186452.48,9797,2287.955,446,0,1,0,1,0,0,0,0,0
2004,BLR,LVA,BLR,LVA,383752.512,23141586.944,13761569.792,9730,2263.122,446,0,1,0,1,0,0,0,0,0
2005,BLR,LVA,BLR,LVA,561952.795,30210091.008,16041840.64,9663,2238.799,445,0,1,0,1,0,0,0,0,0
2006,BLR,LVA,BLR,LVA,533427.033,36961918.976,19935045.632,9604,2218.357,445,0,1,0,1,0,0,0,0,0
2007,BLR,LVA,BLR,LVA,990235.4,45275713.536,28765687.808,9560,2200.3250000000003,445,0,1,0,1,0,0,0,0,0
2008,BLR,LVA,BLR,LVA,2140992.9,60763484.16,33669367.808,9528,2177.322,445,0,1,0,1,0,0,0,0,0
2009,BLR,LVA,BLR,LVA,1655847.1,49208655.872,25875781.632,9507,2141.669,445,0,1,0,1,0,0,0,0,0
2010,BLR,LVA,BLR,LVA,929525.6,55220932.608,24009680.896,9490,2097.555,444,0,1,0,1,0,0,0,0,0
2011,BLR,LVA,BLR,LVA,3151034.8000000003,59734593.536,28480337.92,9473,2059.709,444,0,1,0,1,0,0,0,0,0
2012,BLR,LVA,BLR,LVA,3269680,63615447.04,28372578.304,9464,2034.319,444,0,1,0,1,0,0,0,0,0
2013,BLR,LVA,BLR,LVA,526567.4,71709515.77600001,30956691.456,9466,2013.385,444,0,1,0,1,0,0,0,0,0
2014,BLR,LVA,BLR,LVA,501494.1,78813052.928,31352250.368,9474.511,1993.782,444,0,1,0,1,0,0,0,0,0
2015,BLR,LVA,BLR,LVA,598115,56454774.784,27026036.736,9489.616,1977.527,444,0,1,0,1,0,0,0,0,0
2016,BLR,LVA,BLR,LVA,269136.4,47433441.28,27677390.848,9507.12,1960.424,444,0,1,0,1,0,0,0,0,0
2017,BLR,LVA,BLR,LVA,349151,54726595.249,30483806.018,9458.989,1942.248,444,0,1,0,1,0,0,0,0,0
2018,BLR,LVA,BLR,LVA,471927.4,60031262.269,34429023.435,9438.785,1927.174,444,0,1,0,1,0,0,0,0,0
2019,BLR,LVA,BLR,LVA,365299.9,64409647.194,34308783.825,9419.758,1913.822,444,0,1,0,1,0,0,0,0,0
2020,BLR,LVA,BLR,LVA,340964.467,61489588.895,33645460.617,9379.952,1900.449,444,0,1,0,1,0,0,0,0,0
1994,BLR,MDA,BLR,MDA,20071.234,14931599.36,1702314.368,10227,3694,754,0,0,0,0,0,0,0,0,0
1995,BLR,MDA,BLR,MDA,50657.061,13972637.696,1752995.328,10194,3675.099,754,0,0,0,0,0,0,0,0,0
1996,BLR,MDA,BLR,MDA,57669.911,14756861.952,1695130.496,10160,3667.748,754,0,0,0,0,0,0,0,0,0
1997,BLR,MDA,BLR,MDA,34160.963,14128412.672,1930071.424,10117,3654.208,754,0,0,0,0,0,0,0,0,0
1998,BLR,MDA,BLR,MDA,60424.379,15222014.976,1639497.216,10069,3652.732,754,0,0,0,0,0,0,0,0,0
1999,BLR,MDA,BLR,MDA,29259.051,12138485.76,1170785.024,10035,3647.001,754,0,0,0,0,0,0,0,0,0
2000,BLR,MDA,BLR,MDA,38408,12736856.064,1288420.224,10005,3639.592,755,0,0,0,0,0,0,0,0,0
2001,BLR,MDA,BLR,MDA,43769.2,12354820.096,1480656.896,9928,3631.462,755,0,0,0,1,0,0,0,0,0
2002,BLR,MDA,BLR,MDA,43203.4,14594925.568,1661818.112,9865,3623.062,755,0,0,0,1,0,0,0,0,0
2003,BLR,MDA,BLR,MDA,55884.7,17825435.648000002,1980901.504,9797,3612.874,755,0,0,0,1,0,0,0,0,0
2004,BLR,MDA,BLR,MDA,73505.1,23141586.944,2598231.552,9730,3603.945,755,0,0,0,1,0,0,0,0,0
2005,BLR,MDA,BLR,MDA,102212.7,30210091.008,2988172.544,9663,3595.187,755,0,0,0,1,0,0,0,0,0
2006,BLR,MDA,BLR,MDA,95682.3,36961918.976,3408454.144,9604,3585.2090000000003,755,0,0,0,1,0,0,0,0,0
2007,BLR,MDA,BLR,MDA,144783.1,45275713.536,4402496,9560,3576.91,755,0,0,0,1,0,0,0,0,0
2008,BLR,MDA,BLR,MDA,241237.3,60763484.16,6054806.016,9528,3570.108,755,0,0,0,1,0,0,0,0,0
2009,BLR,MDA,BLR,MDA,169635.7,49208655.872,5439421.9520000005,9507,3565.6040000000003,755,0,0,0,1,0,0,0,0,0
2010,BLR,MDA,BLR,MDA,165163.6,55220932.608,5811603.968,9490,3562.045,755,0,0,0,1,0,0,0,0,0
2011,BLR,MDA,BLR,MDA,242141.5,59734593.536,7016162.816000001,9473,3559.986,755,0,0,0,1,0,0,0,0,0
2012,BLR,MDA,BLR,MDA,253358.2,63615447.04,7284686.336,9464,3559.519,755,0,0,0,1,0,0,0,0,0
2013,BLR,MDA,BLR,MDA,265132.9,71709515.77600001,7969618.944,9466,3559,755,0,0,0,1,0,0,0,0,0
2014,BLR,MDA,BLR,MDA,260928.5,78813052.928,7983270.912,9474.511,3556.397,755,0,0,0,1,0,0,0,0,0
2015,BLR,MDA,BLR,MDA,119040.2,56454774.784,6512899.584,9489.616,3554.108,755,0,0,0,1,0,0,0,0,0
2016,BLR,MDA,BLR,MDA,114167.3,47433441.28,6749515.776000001,9507.12,3552,755,0,0,0,1,0,0,0,0,0
2017,BLR,MDA,BLR,MDA,129581.6,54726595.249,9669741.744,9458.989,2755.158,755,0,0,0,1,0,0,0,0,0
2018,BLR,MDA,BLR,MDA,140352.1,60031262.269,11457443.185,9438.785,2708.214,755,0,0,0,1,0,0,0,0,0
2019,BLR,MDA,BLR,MDA,137368.1,64409647.194,11971345.003,9419.758,2664.974,755,0,0,0,1,0,0,0,0,0
2020,BLR,MDA,BLR,MDA,125500.5,61489588.895,11859730.544,9379.952,2620.495,754,0,0,0,1,0,0,0,0,0
1996,BLR,RUS,BLR,RUS,2907599.872,14756861.952,391721385.984,10160,148160.126,1019,0,1,0,0,0,0,0,0,0
1997,BLR,RUS,BLR,RUS,3333832.072,14128412.672,404926529.536,10117,147915.375,1019,0,1,0,0,0,0,0,0,0
1998,BLR,RUS,BLR,RUS,4608114.484,15222014.976,270953119.744,10069,147670.776,1019,0,1,0,0,0,0,0,0,0
1999,BLR,RUS,BLR,RUS,3222000,12138485.76,195905765.376,10035,147214.783,1019,0,1,0,0,0,0,0,0,0
2000,BLR,RUS,BLR,RUS,3715667.9,12736856.064,259708502.016,10005,146596.863,1013,0,1,0,0,0,0,0,0,0
2001,BLR,RUS,BLR,RUS,3962698.9,12354820.096,306602672.128,9928,145976.471,1013,0,1,0,0,0,0,0,0,0
2002,BLR,RUS,BLR,RUS,3977107.1,14594925.568,345110446.08,9865,145408.035,1013,0,1,0,0,0,0,0,0,0
2003,BLR,RUS,BLR,RUS,4879858,17825435.648000002,430347780.096,9797,144667.465,1013,0,1,0,0,0,0,0,0,0
2004,BLR,RUS,BLR,RUS,6484977,23141586.944,591016689.664,9730,143821.213,1013,0,1,0,0,0,0,0,0,0
2005,BLR,RUS,BLR,RUS,5715788,30210091.008,764000927.744,9663,143113.892,1009,0,1,0,0,0,0,0,0,0
2006,BLR,RUS,BLR,RUS,6849619,36961918.976,989930520.576,9604,142487.259,1009,0,1,0,0,0,0,0,0,0
2007,BLR,RUS,BLR,RUS,8887000,45275713.536,1299705233.408,9560,142114.899,1009,0,1,0,0,0,0,0,0,0
2008,BLR,RUS,BLR,RUS,10599884.667,60763484.16,1660844376.064,9528,141956.40600000002,1009,0,1,0,0,0,0,0,0,0
2009,BLR,RUS,BLR,RUS,6718485.5,49208655.872,1222643679.232,9507,141909.241,1009,0,1,0,0,0,0,0,0,0
2010,BLR,RUS,BLR,RUS,9953647.9,55220932.608,1524916158.464,9490,142385.529,1006,0,1,0,0,0,0,0,0,0
2011,BLR,RUS,BLR,RUS,14508643.1,59734593.536,1904792961.024,9473,142956.467,1006,0,1,0,0,0,0,0,0,0
2012,BLR,RUS,BLR,RUS,16161364.8,63615447.04,2017470971.904,9464,143177.994,1006,0,1,0,1,0,0,0,0,0
2013,BLR,RUS,BLR,RUS,16733677,71709515.77600001,2096777003.008,9466,143499.863,1006,0,1,0,1,0,0,0,0,0
2014,BLR,RUS,BLR,RUS,15071585.3,78813052.928,2063662317.568,9474.511,143819.672,1006,0,1,0,1,0,0,0,0,0
2015,BLR,RUS,BLR,RUS,10301109.9,56454774.784,1365865267.2,9489.616,144096.863,1008,0,1,0,1,0,0,0,0,1
2016,BLR,RUS,BLR,RUS,10901669,47433441.28,1283162374.144,9507.12,144342.392,1008,0,1,0,1,0,0,0,0,1
2017,BLR,RUS,BLR,RUS,13313949.062,54726595.249,1574199387.071,9458.989,144496.73500000002,1008,0,1,0,1,0,0,0,0,1
2018,BLR,RUS,BLR,RUS,12901812.397,60031262.269,1657329646.184,9438.785,144477.859,1008,0,1,0,1,0,0,0,0,1
2019,BLR,RUS,BLR,RUS,13656498.99,64409647.194,1693113904.263,9419.758,144406.265,1008,0,1,0,1,0,0,0,0,1
2020,BLR,RUS,BLR,RUS,12978016,61489588.895,1488321875.49,9379.952,144073.135,1009,0,1,0,1,0,0,0,0,1
1998,BLR,TJK,BLR,TJK,8228.253,15222014.976,1320126.72,10069,6012.933,3505,0,0,0,0,0,0,0,0,0
1999,BLR,TJK,BLR,TJK,2972.968,12138485.76,1086567.424,10035,6094.661,3505,0,0,0,0,0,0,0,0,0
2000,BLR,TJK,BLR,TJK,2396.5,12736856.064,860550.272,10005,6186.152,3508,0,0,0,0,0,0,0,0,0
2001,BLR,TJK,BLR,TJK,2546.6,12354820.096,1080774.016,9928,6289.34,3508,0,0,0,0,0,0,0,0,0
2002,BLR,TJK,BLR,TJK,2991.4,14594925.568,1221113.856,9865,6404.118,3508,0,0,0,0,0,0,0,0,0
2003,BLR,TJK,BLR,TJK,4075.7,17825435.648000002,1554125.568,9797,6529.609,3508,0,0,0,0,0,0,0,0,0
2004,BLR,TJK,BLR,TJK,11758.6,23141586.944,2076148.736,9730,6663.929,3508,0,0,0,0,0,0,0,0,0
2005,BLR,TJK,BLR,TJK,8629.3,30210091.008,2312319.488,9663,6805.655,3510,0,0,0,0,0,0,0,0,0
2006,BLR,TJK,BLR,TJK,13562.3,36961918.976,2830236.16,9604,6954.522,3510,0,0,0,0,0,0,0,0,0
2007,BLR,TJK,BLR,TJK,27719,45275713.536,3719497.472,9560,7111.0250000000005,3510,0,0,0,0,0,0,0,0,0
2008,BLR,TJK,BLR,TJK,37399.5,60763484.16,5161336.32,9528,7275.252,3510,0,0,0,0,0,0,0,0,0
2009,BLR,TJK,BLR,TJK,34563.6,49208655.872,4979482.112,9507,7447.396,3510,0,0,0,0,0,0,0,0,0
2010,BLR,TJK,BLR,TJK,42127,55220932.608,5642178.5600000005,9490,7627.326,3512,0,0,0,0,0,0,0,0,0
2011,BLR,TJK,BLR,TJK,50115.9,59734593.536,6522732.032000001,9473,7814.85,3512,0,0,0,0,0,0,0,0,0
2012,BLR,TJK,BLR,TJK,48196.9,63615447.04,7633049.600000001,9464,8008.99,3512,0,0,0,0,0,0,0,0,0
2013,BLR,TJK,BLR,TJK,29732.9,71709515.77600001,8508103.68,9466,8207.834,3512,0,0,0,1,0,0,0,0,0
2014,BLR,TJK,BLR,TJK,30630.3,78813052.928,9236308.992,9474.511,8362.745,3512,0,0,0,1,0,0,0,0,0
2015,BLR,TJK,BLR,TJK,20862.9,56454774.784,7853450.24,9489.616,8548.651,3513,0,0,0,1,0,0,0,0,0
2016,BLR,TJK,BLR,TJK,18908.172,47433441.28,6951656.96,9507.12,8734.951000000001,3513,0,0,0,1,0,0,0,0,0
2017,BLR,TJK,BLR,TJK,36986.084,54726595.249,7536439.875,9458.989,8880.27,3513,0,0,0,1,0,0,0,0,0
2018,BLR,TJK,BLR,TJK,35224.657,60031262.269,7765014.424000001,9438.785,9100.847,3513,0,0,0,1,0,0,0,0,0
2019,BLR,TJK,BLR,TJK,26554.8,64409647.194,8300784.857,9419.758,9321.023,3513,0,0,0,1,0,0,0,0,0
2020,BLR,TJK,BLR,TJK,52348.388,61489588.895,8133996.648,9379.952,9537.642,3513,0,0,0,1,0,0,0,0,0
1997,BLR,TKM,BLR,TKM,8101.777,14128412.672,2450084.864,10117,4335.991,2899,0,0,0,0,0,0,0,0,0
1998,BLR,TKM,BLR,TKM,4372.013,15222014.976,2605688.064,10069,4395.293,2899,0,0,0,0,0,0,0,0,0
1999,BLR,TKM,BLR,TKM,21117.256,12138485.76,2450686.72,10035,4449.427,2899,0,0,0,0,0,0,0,0,0
2000,BLR,TKM,BLR,TKM,53475.756,12736856.064,2904662.528,10005,4501.419,2902,0,0,0,0,0,0,0,0,0
2001,BLR,TKM,BLR,TKM,2174.9,12354820.096,3534771.968,9928,4551.762,2902,0,0,0,0,0,0,0,0,0
2002,BLR,TKM,BLR,TKM,20619.1,14594925.568,4462028.8,9865,4600.171,2902,0,0,0,0,0,0,0,0,0
2003,BLR,TKM,BLR,TKM,39732.4,17825435.648000002,5977440.768,9797,4648.037,2902,0,0,0,0,0,0,0,0,0
2004,BLR,TKM,BLR,TKM,16946.7,23141586.944,6838350.848,9730,4696.876,2902,0,0,0,0,0,0,0,0,0
2005,BLR,TKM,BLR,TKM,43863,30210091.008,8104355.84,9663,4747.839,2903,0,0,0,0,0,0,0,0,0
2006,BLR,TKM,BLR,TKM,14527.6,36961918.976,10277598.208,9604,4801.595,2903,0,0,0,0,0,0,0,0,0
2007,BLR,TKM,BLR,TKM,86944.90000000001,45275713.536,12664165.376,9560,4858.236,2903,0,0,0,0,0,0,0,0,0
2008,BLR,TKM,BLR,TKM,47390.5,60763484.16,19271522.304,9528,4917.543,2903,0,0,0,0,0,0,0,0,0
2009,BLR,TKM,BLR,TKM,73083.7,49208655.872,20214386.688,9507,4978.962,2903,0,0,0,0,0,0,0,0,0
2010,BLR,TKM,BLR,TKM,87201.5,55220932.608,22148069.376,9490,5041.995,2905,0,0,0,0,0,0,0,0,0
2011,BLR,TKM,BLR,TKM,213791.4,59734593.536,29233334.272,9473,5106.668,2905,0,0,0,0,0,0,0,0,0
2012,BLR,TKM,BLR,TKM,230181.3,63615447.04,35164209.152,9464,5172.9310000000005,2905,0,0,0,0,0,0,0,0,0
2013,BLR,TKM,BLR,TKM,315749.4,71709515.77600001,41850875.904,9466,5240.072,2905,0,0,0,0,0,0,0,0,0
2014,BLR,TKM,BLR,TKM,174015.1,78813052.928,43524210.688,9474.511,5466.241,2905,0,0,0,0,0,0,0,0,0
2015,BLR,TKM,BLR,TKM,81938,56454774.784,35799629.824,9489.616,5565.284000000001,2905,0,0,0,0,0,0,0,0,0
2016,BLR,TKM,BLR,TKM,103752.4,47433441.28,36179886.08,9507.12,5662.544,2905,0,0,0,0,0,0,0,0,0
2017,BLR,TKM,BLR,TKM,58243.5,54726595.249,37926285.714,9458.989,5757.667,2905,0,0,0,0,0,0,0,0,0
2018,BLR,TKM,BLR,TKM,22987.3,60031262.269,40765428.571,9438.785,5850.902,2905,0,0,0,0,0,0,0,0,0
2019,BLR,TKM,BLR,TKM,15359.3,64409647.194,45231428.571,9419.758,5942.094,2905,0,0,0,0,0,0,0,0,0
1996,BLR,UKR,BLR,UKR,384483.496,14756861.952,44558077.952,10160,51057.19,643,0,1,0,0,0,0,0,0,0
1997,BLR,UKR,BLR,UKR,391121.083,14128412.672,50150400,10117,50594.105,643,0,1,0,0,0,0,0,0,0
1998,BLR,UKR,BLR,UKR,386871.845,15222014.976,41883242.496,10069,50143.94,643,0,1,0,0,0,0,0,0,0
1999,BLR,UKR,BLR,UKR,343264.846,12138485.76,31580639.232,10035,49673.351,643,0,1,0,0,0,0,0,0,0
2000,BLR,UKR,BLR,UKR,601807.56,12736856.064,31261528.064,10005,49175.846,642,0,1,0,0,0,0,0,0,0
2001,BLR,UKR,BLR,UKR,421818.7,12354820.096,38009344,9928,48683.865,642,0,1,0,0,0,0,0,0,0
2002,BLR,UKR,BLR,UKR,271581.6,14594925.568,42392895.488,9865,48202.499,642,0,1,0,0,0,0,0,0,0
2003,BLR,UKR,BLR,UKR,343605.99,17825435.648000002,50132955.136,9797,47812.95,642,0,1,0,0,0,0,0,0,0
2004,BLR,UKR,BLR,UKR,544648.12,23141586.944,64883060.736,9730,47451.599,642,0,1,0,0,0,0,0,0,0
2005,BLR,UKR,BLR,UKR,939816.402,30210091.008,86142017.536,9663,47105.148,639,0,1,0,0,0,0,0,0,0
2006,BLR,UKR,BLR,UKR,1255184.782,36961918.976,107753070.592,9604,46787.75,639,0,1,0,0,0,0,0,0,0
2007,BLR,UKR,BLR,UKR,1469836.3,45275713.536,142719008.768,9560,46509.35,639,0,1,0,0,0,0,0,0,0
2008,BLR,UKR,BLR,UKR,2809518.203,60763484.16,179992412.16,9528,46258.202,639,0,1,0,1,0,0,0,0,0
2009,BLR,UKR,BLR,UKR,1692833.922,49208655.872,117227765.76,9507,46053.299,639,0,1,0,1,0,0,0,0,0
2010,BLR,UKR,BLR,UKR,2567588.697,55220932.608,136419303.424,9490,45870.701,634,0,1,0,1,0,0,0,0,0
2011,BLR,UKR,BLR,UKR,4211749.638,59734593.536,163421732.864,9473,45706.1,634,0,1,0,1,0,0,0,0,0
2012,BLR,UKR,BLR,UKR,5554364.5,63615447.04,176603430.912,9464,45593.3,634,0,1,0,1,0,0,0,0,0
2013,BLR,UKR,BLR,UKR,4193276.2,71709515.77600001,177430609.92000002,9466,45489.601,634,0,1,0,1,0,0,0,0,0
2014,BLR,UKR,BLR,UKR,4056812.2,78813052.928,133503410.176,9474.511,45271.946,634,0,1,0,1,0,0,0,0,0
2015,BLR,UKR,BLR,UKR,2512179.8000000003,56454774.784,91030962.176,9489.616,45154.03,629,0,1,0,1,0,0,0,0,0
2016,BLR,UKR,BLR,UKR,2833294.3000000003,47433441.28,93270482.944,9507.12,45004.646,629,0,1,0,1,0,0,0,0,0
2017,BLR,UKR,BLR,UKR,3355316.4,54726595.249,112090530.369,9458.989,44831.135,629,0,1,0,1,0,0,0,0,0
2018,BLR,UKR,BLR,UKR,4061534.2,60031262.269,130891049.797,9438.785,44622.517,629,0,1,0,1,0,0,0,0,0
2019,BLR,UKR,BLR,UKR,4141632.6,64409647.194,153882982.016,9419.758,44386.204,629,0,1,0,1,0,0,0,0,0
2020,BLR,UKR,BLR,UKR,3148496.1,61489588.895,156617861.449,9379.952,44132.05,624,0,1,0,1,0,0,0,0,0
1998,BLR,UZB,BLR,UZB,18115.717,15222014.976,14988971.008,10069,24051.001,3321,0,0,0,0,0,0,0,0,0
1999,BLR,UZB,BLR,UZB,20587.921,12138485.76,17078465.536000002,10035,24311.649,3321,0,0,0,0,0,0,0,0,0
2000,BLR,UZB,BLR,UZB,10632.2,12736856.064,13760374.784,10005,24650.4,3323,0,0,0,0,0,0,0,0,0
2001,BLR,UZB,BLR,UZB,16615.8,12354820.096,11401351.168,9928,24964.451,3323,0,0,0,0,0,0,0,0,0
2002,BLR,UZB,BLR,UZB,18957.4,14594925.568,9687951.36,9865,25271.851,3323,0,0,0,0,0,0,0,0,0
2003,BLR,UZB,BLR,UZB,21734.1,17825435.648000002,10128112.64,9797,25567.65,3323,0,0,0,0,0,0,0,0,0
2004,BLR,UZB,BLR,UZB,39138.5,23141586.944,12030023.68,9730,25864.349,3323,0,0,0,0,0,0,0,0,0
2005,BLR,UZB,BLR,UZB,42094,30210091.008,14307510.272,9663,26167,3322,0,0,0,0,0,0,0,0,0
2006,BLR,UZB,BLR,UZB,54237.6,36961918.976,17030896.64,9604,26488.251,3322,0,0,0,0,0,0,0,0,0
2007,BLR,UZB,BLR,UZB,93068.5,45275713.536,22311393.28,9560,26868,3322,0,0,0,0,0,0,0,0,0
2008,BLR,UZB,BLR,UZB,138059.1,60763484.16,27934031.872,9528,27302.799,3322,0,0,0,0,0,0,0,0,0
2009,BLR,UZB,BLR,UZB,106472.5,49208655.872,32816828.416,9507,27767.401,3322,0,0,0,0,0,0,0,0,0
2010,BLR,UZB,BLR,UZB,95055.3,55220932.608,39332769.792,9490,28562.401,3320,0,0,0,0,0,0,0,0,0
2011,BLR,UZB,BLR,UZB,63825.4,59734593.536,45324320.768,9473,29339.399,3320,0,0,0,0,0,0,0,0,0
2012,BLR,UZB,BLR,UZB,95475.9,63615447.04,51183443.968,9464,29774.5,3320,0,0,0,0,0,0,0,0,0
2013,BLR,UZB,BLR,UZB,92179.9,71709515.77600001,56795656.192,9466,30241.1,3320,0,0,0,0,0,0,0,0,0
2014,BLR,UZB,BLR,UZB,67088.4,78813052.928,63067078.656,9474.511,30757.7,3320,0,0,0,0,0,0,0,0,0
2015,BLR,UZB,BLR,UZB,37500.5,56454774.784,66903805.952,9489.616,31298.901,3318,0,0,0,0,0,0,0,0,0
2016,BLR,UZB,BLR,UZB,35584.200000000004,47433441.28,67220336.64,9507.12,31848.2,3318,0,0,0,0,0,0,0,0,0
2017,BLR,UZB,BLR,UZB,152125.361,54726595.249,62081323.299,9458.989,32388.599,3318,0,0,0,0,0,0,0,0,0
2018,BLR,UZB,BLR,UZB,372957.743,60031262.269,52633143.808,9438.785,32956.1,3318,0,0,0,0,0,0,0,0,0
2019,BLR,UZB,BLR,UZB,279599.934,64409647.194,59907674.027,9419.758,33580.349,3318,0,0,0,0,0,0,0,0,0
2020,BLR,UZB,BLR,UZB,235623.6,61489588.895,59894305.353,9379.952,34232.052,3315,0,0,0,0,0,0,0,0,0
1995,EST,ARM,EST,ARM,188.22,4362191.36,1468317.312,1436.634,3223.173,2549,0,0,0,0,0,0,0,0,0
1996,EST,ARM,EST,ARM,118.958,4739181.568,1596968.96,1415.594,3173.425,2549,0,0,0,0,0,0,0,0,0
1997,EST,ARM,EST,ARM,355.975,5059146.752,1639492.48,1399.535,3137.652,2549,0,0,0,0,0,0,0,0,0
1998,EST,ARM,EST,ARM,315.762,5608007.1680000005,1893726.464,1386.156,3112.958,2549,0,0,0,0,0,0,0,0,0
1999,EST,ARM,EST,ARM,294.061,5715278.848,1845482.24,1380.62,3093.82,2549,0,0,1,0,0,0,0,0,0
2000,EST,ARM,EST,ARM,278.669,5685561.3440000005,1911563.648,1396.985,3076.098,2549,0,0,1,0,0,0,0,0,0
